STA  	LAT     	LON      	ELEV   	Phase	DATE      	TIME       	DATE      .1	TIME       .1	LAT     .1	LON      .1	DEPTH	MAG 	sumberdata	FixPHASE	PHASECode	Origin Time	Arrival Time	TRAVEL TIME
MLB  	-7.2167	107.617	1550.0	Pn      	1923-05-12	01:20:48   	1923-05-12	01:20:08.80	-6.966	105.1715	25.0	 6.3	isc	0	0	1923-05-1201:20:08.80	1923-05-1201:20:48.000000	39.2
MLB  	-7.2167	107.617	1550.0	Pn      	1923-05-12	01:20:48.00	1923-05-12	01:20:08.80	-6.966	105.1715	25.0	 6.3	isc	0	0	1923-05-1201:20:08.80	1923-05-1201:20:48.00	39.2
MLB  	-7.2167	107.617	1550.0	Sn      	1930-06-19	13:08:42.00	1930-06-19	13:07:28.37	-5.6291	105.3224	35.0	 6.2	isc	0	0	1930-06-1913:07:28.37	1930-06-1913:08:42.00	73.63
SLS  	-5.4	105.217	240.0	Pb      	1933-06-24	21:55:00.00	1933-06-24	21:54:49.64	-5.2259	104.5959	20.0	 7.7	isc	0	0	1933-06-2421:54:49.64	1933-06-2421:55:00.00	10.36
MLB  	-7.2167	107.617	1550.0	Pn      	1933-06-24	21:55:39.00	1933-06-24	21:54:49.64	-5.2259	104.5959	20.0	 7.7	isc	0	0	1933-06-2421:54:49.64	1933-06-2421:55:39.00	49.36
DJA  	-6.1833	106.8362	8.0	Pn      	1936-12-20	18:30:15.00	1936-12-20	18:29:31.32	-6.2739	104.0661	35.0	 6.3	isc	0	0	1936-12-2018:29:31.32	1936-12-2018:30:15.00	43.68
DJA  	-6.1833	106.8362	8.0	Sn      	1936-12-20	18:30:49.00	1936-12-20	18:29:31.32	-6.2739	104.0661	35.0	 6.3	isc	0	0	1936-12-2018:29:31.32	1936-12-2018:30:49.00	77.68
MLB  	-7.2167	107.617	1550.0	Pn      	1936-12-20	18:30:29.00	1936-12-20	18:29:31.32	-6.2739	104.0661	35.0	 6.3	isc	0	0	1936-12-2018:29:31.32	1936-12-2018:30:29.00	57.68
MLB  	-7.2167	107.617	1550.0	Sn      	1936-12-20	18:31:10.00	1936-12-20	18:29:31.32	-6.2739	104.0661	35.0	 6.3	isc	0	0	1936-12-2018:29:31.32	1936-12-2018:31:10.00	98.68
DJA  	-6.1833	106.8362	8.0	Pn      	1949-06-24	22:39:12.00	1949-06-24	22:38:49.69	-6.3811	105.449	60.0	 6.2	isc	0	0	1949-06-2422:38:49.69	1949-06-2422:39:12.00	22.31
DJA  	-6.1833	106.8362	8.0	Pn      	1950-05-01	13:21:26.00	1950-05-01	13:21:01.65	-6.3521	105.4232	65.0	    	isc	0	0	1950-05-0113:21:01.65	1950-05-0113:21:26.00	24.35
DJA  	-6.1833	106.8362	8.0	Sn      	1950-05-01	13:21:48.00	1950-05-01	13:21:01.65	-6.3521	105.4232	65.0	    	isc	0	0	1950-05-0113:21:01.65	1950-05-0113:21:48.00	46.35
BND  	-6.9	107.65	726.0	Pn      	1950-05-01	13:21:36.00	1950-05-01	13:21:01.65	-6.3521	105.4232	65.0	    	isc	0	0	1950-05-0113:21:01.65	1950-05-0113:21:36.00	34.35
BND  	-6.9	107.65	726.0	Pn      	1951-10-14	09:30:02.00	1951-10-14	09:29:44.91	-7.6158	106.8231	55.0	 5.7	isc	0	0	1951-10-1409:29:44.91	1951-10-1409:30:02.00	17.09
DJA  	-6.1833	106.8362	8.0	Sn      	1951-10-14	09:30:31.00	1951-10-14	09:29:44.91	-7.6158	106.8231	55.0	 5.7	isc	0	0	1951-10-1409:29:44.91	1951-10-1409:30:31.00	46.09
BND  	-6.9	107.65	726.0	Pn      	1952-03-04	07:04:03.00	1952-03-04	07:03:23.16	-6.4583	105.0825	45.0	    	isc	0	0	1952-03-0407:03:23.16	1952-03-0407:04:03.00	39.84
DJA  	-6.1833	106.8362	8.0	Pn      	1954-06-18	17:55:16.00	1954-06-18	17:54:48.86	-6.3273	105.1219	55.0	 5.4	isc	0	0	1954-06-1817:54:48.86	1954-06-1817:55:16.00	27.14
DJA  	-6.1833	106.8362	8.0	Sn      	1954-06-18	17:55:38.00	1954-06-18	17:54:48.86	-6.3273	105.1219	55.0	 5.4	isc	0	0	1954-06-1817:54:48.86	1954-06-1817:55:38.00	49.14
LEM  	-6.8266	107.6175	1293.0	Pn      	1954-06-18	17:55:24.00	1954-06-18	17:54:48.86	-6.3273	105.1219	55.0	 5.4	isc	0	0	1954-06-1817:54:48.86	1954-06-1817:55:24.00	35.14
DJA  	-6.1833	106.8362	8.0	Pn      	1954-07-03	22:31:53.00	1954-07-03	22:31:27.02	-6.6236	105.4469	60.0	 6.8	isc	0	0	1954-07-0322:31:27.02	1954-07-0322:31:53.00	25.98
LEM  	-6.8266	107.6175	1293.0	Pn      	1954-07-03	22:32:05.00	1954-07-03	22:31:27.02	-6.6236	105.4469	60.0	 6.8	isc	0	0	1954-07-0322:31:27.02	1954-07-0322:32:05.00	37.98
BND  	-6.9	107.65	726.0	Pn      	1954-07-03	22:32:05.00	1954-07-03	22:31:27.02	-6.6236	105.4469	60.0	 6.8	isc	0	0	1954-07-0322:31:27.02	1954-07-0322:32:05.00	37.98
DJA  	-6.1833	106.8362	8.0	Pn      	1956-06-19	00:19:46.00	1956-06-19	00:19:00.72	-5.8752	104.0598	25.0	 5.5	isc	0	0	1956-06-1900:19:00.72	1956-06-1900:19:46.00	45.28
DJA  	-6.1833	106.8362	8.0	Sn      	1956-06-19	00:20:16.00	1956-06-19	00:19:00.72	-5.8752	104.0598	25.0	 5.5	isc	0	0	1956-06-1900:19:00.72	1956-06-1900:20:16.00	75.28
DJA  	-6.1833	106.8362	8.0	SnSn    	1956-06-19	00:20:28.00	1956-06-19	00:19:00.72	-5.8752	104.0598	25.0	 5.5	isc	0	0	1956-06-1900:19:00.72	1956-06-1900:20:28.00	87.28
LEM  	-6.8266	107.6175	1293.0	Pn      	1956-06-19	00:19:56.00	1956-06-19	00:19:00.72	-5.8752	104.0598	25.0	 5.5	isc	0	0	1956-06-1900:19:00.72	1956-06-1900:19:56.00	55.28
