104.9106	-7.0011	23.0	5
1	    12	37.11	
1	    3	31.61	
2	    3	55.61	
1	    6	40.11	
2	    6	81.61	
105.3868	-7.0896	56.0	5
1	    12	24.62	
1	    3	24.52	
2	    3	50.52	
1	    6	34.02	
2	    6	62.52	
106.9206	-7.8822	46.0	5
1	    6	22.36	
2	    6	39.86	
1	    3	30.06	
2	    3	46.86	
1	    12	30.46	
106.7246	-7.1782	100.0	5
1	    6	17.64	
2	    6	33.14	
1	    3	18.64	
2	    3	39.14	
1	    12	19.54	
106.6871	-7.1964	130.0	5
1	    6	21.71	
2	    6	43.71	
1	    3	21.51	
2	    3	43.71	
1	    12	22.61	
106.2771	-7.0138	100.0	5
1	    12	20.44	
1	    3	20.44	
2	    3	37.94	
1	    6	21.94	
2	    6	39.94	
105.12	-7.0591	56.0	5
2	    12	50.03	
1	    3	30.43	
2	    3	56.03	
1	    6	39.53	
2	    6	71.03	
104.2997	-5.8204	65.7	5
1	    12	37.35	
1	    3	39.75	
2	    3	69.85	
1	    6	51.85	
2	    6	93.35	
105.6071	-6.7435	56.0	5
1	    12	23.53	
1	    3	21.63	
2	    3	38.33	
1	    6	32.53	
2	    6	56.53	
104.1266	-5.6515	69.6	5
1	    12	41.89	
1	    3	42.79	
2	    3	75.39	
1	    6	56.09	
2	    6	100.09	
106.1371	-7.3633	32.0	6
1	    12	25.31	
2	    12	37.31	
1	    3	26.61	
2	    3	44.01	
1	    6	28.31	
2	    6	45.31	
